hc,f
1.281672244341001e-20,0.0012200000000000002
1.3679750621907335e-20,0.0012300000000000002
1.0298466909084964e-20,0.0012400000000000002
1.1441982304356274e-20,0.00125
2.722251753489383e-20,0.00126
2.719295370774198e-20,0.00127
2.9641062502047206e-20,0.00128
2.949518236521699e-20,0.0012900000000000001
3.8930944410222257e-20,0.0013000000000000002
3.8845934390974847e-20,0.0013100000000000002
3.6391036312187507e-20,0.0013200000000000002
3.642862837685909e-20,0.0013300000000000002
3.6526522158507034e-20,0.00134
7.65500572645362e-21,0.00135
7.145117778289013e-21,0.00136
8.217062275075307e-21,0.0013700000000000001
8.082905409951249e-21,0.0013800000000000002
6.7205479764011434e-21,0.0013900000000000002
3.0431531404282328e-21,0.0014000000000000002
3.302058649403753e-21,0.0014100000000000002
2.4014742239490196e-21,0.00142
6.479893721085674e-21,0.00143
7.373193747908618e-21,0.00144
7.41196210904266e-21,0.0014500000000000001
6.237055402783136e-21,0.0014600000000000001
6.3734641908790634e-21,0.0014700000000000002
7.360669641783131e-21,0.0014800000000000002
7.209246557054506e-21,0.0014900000000000002
3.381115319389013e-21,0.0015000000000000002
3.379558901508431e-21,0.00151
3.2432150376513395e-21,0.00152
3.249555677382785e-21,0.0015300000000000001
8.42260063525334e-21,0.0015400000000000001
8.213807029806015e-21,0.0015500000000000002
8.241138712347493e-21,0.0015600000000000002
8.04291500396691e-21,0.0015700000000000002
1.0820442797138093e-20,0.0015800000000000002
1.0819440967919985e-20,0.00159
1.1151015561358703e-20,0.0016
1.1175647164642483e-20,0.00161
3.234175264362878e-21,0.0016200000000000001
3.1575851904455178e-21,0.0016300000000000002
3.1636767091950636e-21,0.0016400000000000002
1.2911877016170956e-21,0.0016500000000000002
1.2857065378793128e-21,0.0016600000000000002
4.9882836570116084e-21,0.0016700000000000003
5.179489300862725e-21,0.00168
5.207675016183167e-21,0.00169
5.188553349188973e-21,0.0017000000000000001
5.159138793356512e-21,0.0017100000000000001
5.1548730888124654e-21,0.0017200000000000002
6.882049344743262e-21,0.0017300000000000002
6.88367370021999e-21,0.0017400000000000002
6.7073098419218405e-21,0.0017500000000000003
6.7077521473388656e-21,0.00176
6.703341875156664e-21,0.00177
6.758415745711366e-21,0.0017800000000000001
6.869969027346745e-21,0.0017900000000000001
1.4502316542731403e-21,0.0018000000000000002
1.4482607157939281e-21,0.0018100000000000002
1.45729263273923e-21,0.0018200000000000002
1.3882001353689035e-21,0.0018300000000000002
1.3738666385974202e-21,0.0018400000000000003
1.302662931612473e-21,0.00185
1.3013071398159944e-21,0.00186
5.849831597821646e-22,0.0018700000000000001
4.604409322732713e-22,0.0018800000000000002
4.577837651863358e-22,0.0018900000000000002
4.059283831696672e-22,0.0019000000000000002
7.162356127606976e-22,0.0019100000000000002
1.669676115440786e-21,0.0019200000000000003
1.6699330427026575e-21,0.0019300000000000003
1.6472565682421329e-21,0.00194
1.628706895123535e-21,0.0019500000000000001
1.6317690593449165e-21,0.00196
2.090952814681688e-21,0.0019700000000000004
1.9833945125395303e-21,0.00198
1.97916730550342e-21,0.00199
1.981310137841331e-21,0.002
1.98116181570826e-21,0.00201
2.0107377792276407e-21,0.00202
3.768645296393253e-22,0.00203
3.206663915319157e-22,0.00204
3.1910988934657596e-22,0.00205
2.9980703490810846e-22,0.00206
3.57411035494303e-22,0.0020700000000000002
3.5902673890601643e-22,0.0020800000000000003
9.329123067214423e-22,0.0020900000000000003
8.783355204483641e-22,0.0021000000000000003
8.783826970158468e-22,0.0021100000000000003
8.775896004167825e-22,0.0021200000000000004
8.758620204612338e-22,0.0021300000000000004
9.081871863254885e-22,0.0021400000000000004
9.096751513879611e-22,0.00215
1.1596518991707027e-21,0.00216
1.1585993441580688e-21,0.00217
1.1586329870660852e-21,0.00218
1.1565935650804638e-21,0.00219
1.153223981290812e-21,0.0022
1.1534659714760456e-21,0.00221
1.1515878263516735e-21,0.00222
1.1579659867774487e-21,0.00223
1.502765875482648e-22,0.0022400000000000002
1.5430198508856621e-22,0.0022500000000000003
1.5424520437116139e-22,0.0022600000000000003
1.410253035501406e-22,0.0022700000000000003
1.4080456741660686e-22,0.0022800000000000003
1.4080526071124042e-22,0.0022900000000000004
3.073251677226409e-22,0.0023000000000000004
2.7487277890546e-22,0.0023100000000000004
2.7488878258699954e-22,0.00232
2.714312796213036e-22,0.00233
2.71607671605456e-22,0.00234
2.777275690322443e-22,0.00235
3.553741412862368e-22,0.00236
3.5805840900406e-22,0.00237
3.5807413505304544e-22,0.00238
3.580755922995529e-22,0.00239
3.5569636887062024e-22,0.0024000000000000002
3.559110740888395e-22,0.0024100000000000002
3.55910417681265e-22,0.0024200000000000003
6.576399208636893e-23,0.0024300000000000003
6.446147102530135e-23,0.0024400000000000003
3.533388372235638e-23,0.0024500000000000004
3.5318955313856856e-23,0.0024600000000000004
3.1605233503996445e-23,0.0024700000000000004
3.0908154465504004e-23,0.0024800000000000004
3.086533894303938e-23,0.00249
5.316346053935559e-23,0.0025
1.5172276105547836e-22,0.00251
1.5166971519657163e-22,0.00252
1.517876598125151e-22,0.00253
1.5178997889188762e-22,0.00254
1.539207387900201e-22,0.00255
1.5257688532144833e-22,0.00256
1.525742127282065e-22,0.0025700000000000002
1.525709734277977e-22,0.0025800000000000003
1.5237826501514212e-22,0.0025900000000000003
1.8852856124094523e-22,0.0026000000000000003
1.8852592419039414e-22,0.0026100000000000003
1.8387728819062175e-22,0.0026200000000000004
1.8359470159670674e-22,0.0026300000000000004
1.8144653881243348e-22,0.0026400000000000004
1.8144658969874954e-22,0.0026500000000000004
1.817023828452678e-22,0.00266
1.8168796950408756e-22,0.00267
1.8786589526168798e-22,0.00268
5.046024499317326e-23,0.00269
4.9891790074318654e-23,0.0027
4.979740984126234e-23,0.00271
4.976799081121018e-23,0.00272
4.976327059308888e-23,0.0027300000000000002
4.954703373092041e-23,0.0027400000000000002
4.9565555200793454e-23,0.0027500000000000003
6.162450184199938e-23,0.0027600000000000003
6.150594643940494e-23,0.0027700000000000003
6.131579587810395e-23,0.0027800000000000004
6.13158837026982e-23,0.0027900000000000004
6.040818396758599e-23,0.0028000000000000004
6.042408975012683e-23,0.0028100000000000004
6.028051852187098e-23,0.0028200000000000005
6.027548007980314e-23,0.00283
3.8545897997238204e-24,0.00284
3.8489344437922695e-24,0.00285
9.348920580987815e-24,0.00286
1.0715096517417378e-23,0.00287
1.093448900452896e-23,0.00288
1.091481371067248e-23,0.00289
1.0913895001726632e-23,0.0029000000000000002
1.0914103642706171e-23,0.0029100000000000003
9.541897585804724e-24,0.0029200000000000003
2.5121481442890586e-23,0.0029300000000000003
2.5124817729772797e-23,0.0029400000000000003
2.5133814733394205e-23,0.0029500000000000004
2.5221291849089116e-23,0.0029600000000000004
2.4574386958756884e-23,0.0029700000000000004
2.4562811746339955e-23,0.0029800000000000004
2.336889085802311e-23,0.0029900000000000005
2.3308766257051468e-23,0.003
2.3308359540196148e-23,0.00301
2.343324594195878e-23,0.00302
2.856224011269086e-23,0.00303
2.8553011057871697e-23,0.00304
2.853964722310557e-23,0.00305
2.8539015251436194e-23,0.0030600000000000002
2.971480028319981e-23,0.0030700000000000002
2.969579282350896e-23,0.0030800000000000003
2.967926986081532e-23,0.0030900000000000003
2.967926102591313e-23,0.0031000000000000003
