t_merge,snr
139.0,58386.783693710895
129.0,62290.14055466148
119.0,66825.47883954336
109.0,72171.55881447504
99.0,78566.44812259696
98.0,79274.96167453197
97.0,79997.6210361813
96.0,80735.06577746577
95.0,81487.75442270862
94.0,82256.1617072479
93.0,83040.7797237356
92.0,83842.11864443445
91.0,84660.70687888624
90.0,85497.09184319398
89.0,86351.84099633431
88.0,87225.54219797827
87.0,88118.80453187868
86.0,89032.25981523904
85.0,89966.56359597913
84.0,90922.39616632872
83.0,91900.4643255353
82.0,92901.50240184461
81.0,93926.2732430562
80.0,94975.5694216158
79.0,96050.2141683676
78.0,97151.15394778115
77.0,98279.94431743135
76.0,99437.76456887406
75.0,100625.73282219331
74.0,101845.01713007834
73.0,103096.83754082098
72.0,104382.46828712616
71.0,105703.24046111957
70.0,107060.54350575668
69.0,108455.82876761413
68.0,109890.61400955351
67.0,111366.48686622395
66.0,112885.11023267508
65.0,114448.22531477347
64.0,116057.65464602971
63.0,117715.30702909242
62.0,119423.75121213547
61.0,121186.34823935732
60.0,123005.6959291295
59.0,124884.50525956313
58.0,126825.63067433937
57.0,128832.07906974763
56.0,130907.02242771372
55.0,133053.81143319167
54.0,135275.98581046503
53.0,137577.28375484797
52.0,139961.6495001017
51.0,142433.24994622596
50.0,144996.62695398479
49.0,147658.88915067096
48.0,150426.57767714764
47.0,153305.89837910444
46.0,156303.45527718103
45.0,159426.28896442667
44.0,162681.918416199
43.0,166078.3804007073
42.0,169624.26416764272
41.0,173328.74889314713
40.0,177201.84577093678
39.0,181258.7255320512
38.0,185514.29708522407
37.0,189983.03392622294
36.0,194680.5591208158
35.0,199623.78879724187
34.0,204831.08642320725
33.0,210322.3798057388
32.0,216119.54740752006
31.0,222254.8309318817
30.0,228761.94680110467
29.0,235674.57992802953
28.0,243029.84723463387
27.0,250868.69572394044
26.0,259236.38135885683
25.0,268190.04268280684
24.0,277807.40437114163
23.0,288163.99023267307
22.0,299344.2148894917
21.0,311443.5412729243
20.0,324578.58835846564
19.0,338916.49222095864
18.0,354630.9226705978
17.0,371920.2474453835
16.0,391025.6239077081
15.0,412302.2638244684
14.0,436149.331264494
13.0,463040.36157768604
12.0,493672.02436345664
11.0,528935.1718418357
10.0,569956.3116961218
9.0,618477.9187685237
8.0,676794.3777167805
7.0,748586.050965896
6.0,839418.6357012623
5.0,958936.9661031401
4.0,1124993.4419983556
3.0,1375659.578870375
2.0,1812536.1724618187
1.0,2876112.689219669
0.0,401909723.3610004
