hc,f
1.0942955561939635e-19,0.0009900000000000002
1.0932192511291517e-19,0.001
1.0611650397136158e-19,0.00101
1.0505340643906832e-19,0.00102
1.0436973176582818e-19,0.00103
1.0484521672538639e-19,0.0010400000000000001
1.0438812785192478e-19,0.0010500000000000002
1.0449388859395121e-19,0.0010600000000000002
1.0457149583170092e-19,0.0010700000000000002
1.0384784227177343e-19,0.00108
1.0384383558332411e-19,0.00109
4.024421221957452e-20,0.0011
5.541166704285681e-20,0.00111
5.541331951708485e-20,0.0011200000000000001
5.537354744292948e-20,0.0011300000000000001
5.342524088548331e-20,0.0011400000000000002
5.3359806732155154e-20,0.0011500000000000002
5.40114164242258e-20,0.0011600000000000002
5.3723794986870986e-20,0.00117
3.717401316794845e-20,0.00118
3.885445436788208e-20,0.00119
3.8185850417168585e-20,0.0012000000000000001
3.8160320038838224e-20,0.0012100000000000001
3.758692057061353e-20,0.0012200000000000002
4.383776530794279e-20,0.0012300000000000002
4.385257862800981e-20,0.0012400000000000002
4.4116220018360416e-20,0.00125
3.770868171886449e-20,0.00126
3.7709886268376495e-20,0.00127
3.450345801767097e-20,0.00128
3.3540160741231307e-20,0.0012900000000000001
3.352097406626449e-20,0.0013000000000000002
3.352407537335844e-20,0.0013100000000000002
3.3679406689164824e-20,0.0013200000000000002
3.3105210092486464e-20,0.0013300000000000002
2.907666008729404e-20,0.00134
2.8967064996757306e-20,0.00135
6.857871557087864e-20,0.00136
6.857965080639959e-20,0.0013700000000000001
6.911293123710378e-20,0.0013800000000000002
6.91910669882881e-20,0.0013900000000000002
6.922812982703764e-20,0.0014000000000000002
6.913710728006517e-20,0.0014100000000000002
6.882038391638553e-20,0.00142
6.884433268728886e-20,0.00143
6.878462177576424e-20,0.00144
6.878478087316017e-20,0.0014500000000000001
6.869455004882413e-20,0.0014600000000000001
6.87327289589552e-20,0.0014700000000000002
5.364698068700859e-20,0.0014800000000000002
5.367063527146873e-20,0.0014900000000000002
5.3716186154209014e-20,0.0015000000000000002
5.3716020802521827e-20,0.00151
5.3752389656203664e-20,0.00152
5.371610940985249e-20,0.0015300000000000001
5.468805345765562e-20,0.0015400000000000001
5.458458120475312e-20,0.0015500000000000002
5.460761091272017e-20,0.0015600000000000002
5.146041094494575e-20,0.0015700000000000002
5.1422855054233955e-20,0.0015800000000000002
5.142282431655667e-20,0.00159
5.0715499513406754e-20,0.0016
5.07328417382349e-20,0.00161
5.078366691485843e-20,0.0016200000000000001
5.0773686857914225e-20,0.0016300000000000002
1.814337320781088e-20,0.0016400000000000002
1.853022876472545e-20,0.0016500000000000002
1.8677851252028123e-20,0.0016600000000000002
1.8646391488636752e-20,0.0016700000000000003
1.3561092650149306e-20,0.00168
1.356171615171862e-20,0.00169
1.3448064332890555e-20,0.0017000000000000001
1.2837574648610485e-20,0.0017100000000000001
1.2819131195725125e-20,0.0017200000000000002
1.2819085791968513e-20,0.0017300000000000002
1.2831255477120525e-20,0.0017400000000000002
1.2901107172158308e-20,0.0017500000000000003
1.271641363263237e-20,0.00176
1.2665415436428358e-20,0.00177
1.2665327476296656e-20,0.0017800000000000001
1.2671721657935419e-20,0.0017900000000000001
1.2673873550511495e-20,0.0018000000000000002
2.786063476501152e-20,0.0018100000000000002
2.785944235788916e-20,0.0018200000000000002
2.785678601654298e-20,0.0018300000000000002
2.8230554505341544e-20,0.0018400000000000003
2.9171977757945524e-20,0.00185
2.913008617125092e-20,0.00186
2.9131269864991066e-20,0.0018700000000000001
2.913128133294088e-20,0.0018800000000000002
2.9149922857351396e-20,0.0018900000000000002
2.915278474738959e-20,0.0019000000000000002
2.9149969984254265e-20,0.0019100000000000002
2.8965306362734913e-20,0.0019200000000000003
2.8967290775110425e-20,0.0019300000000000003
2.896728975316936e-20,0.00194
2.895016188649372e-20,0.0019500000000000001
2.895076208491033e-20,0.00196
1.960824104437512e-20,0.0019700000000000004
